City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
businga,44,CD,1554148964,94,3.34,20.89,72.97,1.97
azanka,80,RU,1554148964,81,58.04,64.79,35.08,13.44
kushiro,88,JP,1554148964,77,43.11,144.15,19.78,3.04
omboue,32,GA,1554148964,98,-1.57,9.26,84.58,11.81
fort nelson,75,CA,1554145200,52,58.81,-122.69,41.0,3.31
murayama,24,JP,1554148965,77,38.52,140.33,24.91,2.75
teahupoo,75,PF,1554148959,66,-17.83,-149.27,87.8,12.75
jumla,0,NP,1554148965,95,29.28,82.18,22.75,1.7
neiafu,75,TO,1554145200,94,-18.65,-173.98,77.0,2.24
cuamba,12,MZ,1554148966,69,-14.8,36.54,65.77,3.71
marsh harbour,64,BS,1554148966,100,26.54,-77.06,76.84,7.07
souillac,0,FR,1554148846,58,45.6,-0.6,59.0,3.36
bubaque,0,GW,1554148966,95,11.28,-15.83,82.06,11.03
pimentel,64,BR,1554148966,78,-3.7,-45.5,81.34,3.71
bonthe,32,SL,1554148967,79,7.53,-12.5,83.95,4.83
polson,90,US,1554148874,53,47.69,-114.16,51.01,10.29
kautokeino,64,NO,1554148934,80,69.01,23.04,25.72,5.61
kattivakkam,20,IN,1554147216,83,13.22,80.32,84.2,9.17
turbat,0,PK,1554148967,32,26.0,63.05,82.15,7.07
padang,64,ID,1554148967,100,-0.92,100.36,82.69,4.88
gambela,8,ET,1554148968,65,8.25,34.59,66.58,3.04
novoagansk,88,RU,1554148968,90,61.94,76.66,33.46,10.8
kulhudhuffushi,64,MV,1554148968,100,6.62,73.07,82.15,2.59
mayo,5,CA,1554145200,48,63.59,-135.9,42.8,4.7
port said,0,EG,1554148969,38,25.34,30.55,52.54,4.05
teknaf,8,BD,1554148969,94,20.86,92.31,71.35,2.82
la ronge,90,CA,1554146040,56,55.1,-105.3,32.0,13.87
adela,80,AR,1554148969,46,-35.68,-57.95,79.63,8.08
kavaratti,0,IN,1554148969,100,10.57,72.64,83.41,9.01
hofn,90,IS,1554145200,100,64.25,-15.21,33.8,10.29
sibolga,64,ID,1554148694,100,1.74,98.78,68.11,1.97
gold coast,75,AU,1554148956,72,-28.0,153.41,68.0,10.29
vestmannaeyjar,32,IS,1554148970,97,63.44,-20.27,34.45,19.71
high level,90,CA,1554145200,59,58.52,-117.13,37.4,16.11
zeya,0,RU,1554149030,70,53.74,127.27,7.99,2.3
pahalgam,8,IN,1554149031,76,34.03,75.33,6.91,2.04
port elizabeth,1,US,1554149011,33,39.31,-74.98,54.0,16.11
zhuhai,0,CN,1554145200,18,40.71,112.04,39.2,2.24
kandi,0,BJ,1554149031,55,11.13,2.93,80.35,2.98
lisakovsk,0,KZ,1554149031,88,52.55,62.49,32.83,11.36
gat,0,SN,1554147000,60,14.69,-16.54,71.6,18.34
evensk,92,RU,1554149032,84,61.92,159.24,33.46,12.88
dong hoi,92,VN,1554149032,100,17.48,106.6,71.44,2.26
thyboron,48,DK,1554148936,82,56.7,8.21,39.99,11.54
college,1,US,1554148713,69,64.86,-147.8,44.01,6.93
svetlogorsk,40,RU,1554147000,55,53.14,59.15,39.2,11.18
bogale,0,MM,1554149033,100,16.29,95.4,74.77,8.34
maniitsoq,48,GL,1554149033,85,65.42,-52.9,20.32,9.08
san vicente,20,SV,1554148828,55,13.64,-88.78,93.2,9.17
marawi,56,PH,1554148883,90,8.0,124.29,73.99,4.0
cam ranh,20,VN,1554147000,73,11.92,109.15,77.0,6.93
tuatapere,92,NZ,1554148809,85,-46.13,167.69,48.99,11.43
ilheus,40,BR,1554145200,79,-14.79,-39.05,84.2,11.41
port lincoln,0,AU,1554149035,100,-34.72,135.86,59.65,12.77
half moon bay,90,US,1554149034,72,37.46,-122.43,66.99,11.41
tiznit,44,MA,1554149035,87,29.7,-9.73,57.76,4.54
nampula,0,MZ,1554148778,79,-15.12,39.26,67.93,3.76
kamenka,36,RU,1554149036,90,53.19,44.05,34.36,5.21
natal,40,BR,1554145200,78,-5.81,-35.21,80.6,3.36
marinette,90,US,1554149011,86,45.1,-87.63,35.01,14.99
ilulissat,20,GL,1554144600,52,69.22,-51.1,17.6,25.28
plover,90,US,1554149002,42,44.46,-89.54,44.6,8.05
mana,0,RS,1554147000,30,43.52,20.24,57.2,2.24
khani,90,GE,1554147000,93,41.96,42.96,44.6,5.82
arrifes,75,PT,1554148995,67,37.77,-25.7,57.2,23.04
ayan,12,TR,1554149038,71,40.67,33.6,25.54,2.71
yumen,80,CN,1554149038,47,40.29,97.04,41.38,9.13
northam,0,GB,1554148929,81,51.04,-4.21,48.0,2.24
merauke,92,ID,1554149038,100,-8.49,140.4,75.67,10.13
hovd,0,NO,1554148865,100,63.83,10.7,39.0,4.7
qinhuangdao,92,CN,1554149038,64,39.94,119.59,32.2,2.53
kharp,0,RU,1554149039,63,66.82,65.8,11.05,7.34
nyagan,48,RU,1554149039,90,62.14,65.43,29.14,9.91
vilyuysk,0,RU,1554149039,83,63.75,121.63,18.43,6.22
itarema,48,BR,1554149039,88,-2.92,-39.92,80.8,4.61
terme,75,TR,1554144600,70,41.21,36.97,48.2,3.36
baghdad,0,IQ,1554145200,100,33.3,44.38,51.8,9.17
ponta delgada,75,PT,1554148995,67,37.73,-25.67,57.2,23.04
toora-khem,24,RU,1554149100,81,52.47,96.11,22.39,2.19
selenduma,48,RU,1554149100,68,50.92,106.24,25.18,2.3
juli,24,PE,1554149100,74,-16.21,-69.46,55.78,5.84
kalmunai,12,LK,1554149101,97,7.42,81.82,75.58,3.76
tupik,0,RU,1554149101,65,54.43,119.94,6.55,3.49
erenhot,0,CN,1554149096,62,43.65,111.97,15.46,2.53
vangaindrano,80,MG,1554149101,95,-23.35,47.6,72.97,2.08
vanimo,80,PG,1554149058,97,-2.67,141.3,83.86,16.35
basco,1,US,1554148996,43,40.33,-91.2,53.01,16.11
miami,40,US,1554149012,48,25.77,-80.19,87.01,12.75
kieta,64,PG,1554149102,100,-6.22,155.63,77.65,2.86
nokaneng,8,BW,1554149102,56,-19.66,22.19,73.06,5.21
shushenskoye,0,RU,1554147000,85,53.33,91.95,21.2,2.24
sai buri,20,TH,1554149102,96,6.7,101.62,74.32,2.59
saint-joseph,0,FR,1554148890,54,43.56,6.97,59.0,2.24
robertsport,56,LR,1554149103,97,6.75,-11.37,83.14,6.85
siparia,20,TT,1554148855,49,10.14,-61.51,89.6,14.99
port macquarie,75,AU,1554148805,100,-31.43,152.91,63.0,5.82
carmen,36,PH,1554149104,92,7.2,124.8,72.79,2.59
san benito,48,CO,1554149105,91,6.13,-73.51,68.83,1.03
nevelsk,20,RU,1554147000,92,46.67,141.86,8.6,6.55
tateyama,80,JP,1554149016,99,36.66,137.31,43.0,2.59
honiara,44,SB,1554149105,91,-9.43,159.96,78.19,2.71
ninghai,0,CN,1554148935,76,29.29,121.42,48.2,4.47
ulaangom,0,MN,1554148893,60,49.98,92.07,12.13,1.86
mangrol,0,IN,1554149106,47,25.33,76.51,63.79,2.82
kachug,12,RU,1554149106,91,53.96,105.89,30.22,6.22
chipata,20,ZM,1554149106,69,-13.64,32.65,70.45,6.78
visby,0,SE,1554148967,91,57.64,18.3,32.0,8.05
do gonbadan,0,IR,1554145200,82,30.36,50.8,57.2,0.51
qasigiannguit,20,GL,1554144600,52,68.82,-51.19,17.6,25.28
wangaratta,64,AU,1554148833,100,-36.36,146.32,52.0,3.38
kholtoson,44,RU,1554149107,70,50.3,103.31,23.65,2.98
muskegon,90,US,1554149104,35,43.23,-86.25,44.01,23.04
zaliznychne,0,UA,1554145200,53,47.65,36.17,51.8,24.61
saint anthony,40,US,1554148896,29,43.97,-111.68,54.0,8.05
king city,1,US,1554148901,40,36.21,-121.13,73.0,2.82
kuytun,12,RU,1554149108,74,54.34,101.51,26.89,4.38
nizhniy kuranakh,0,RU,1554149109,64,58.84,125.49,7.36,2.37
atar,0,MR,1554149043,34,20.52,-13.05,65.23,2.3
kampot,75,KH,1554147000,88,10.62,104.18,77.0,4.7
kolokani,44,ML,1554149109,39,13.58,-8.03,87.64,6.89
yarmouth,0,GB,1554149104,87,50.71,-1.5,50.0,3.36
pangkalanbuun,24,ID,1554149109,96,-2.68,111.62,71.71,3.49
waingapu,8,ID,1554149170,98,-9.65,120.26,69.01,2.98
kroya,8,ID,1554149170,95,-6.5,108.06,69.91,2.53
tessalit,0,ML,1554149071,29,20.2,1.01,81.88,12.15
ulladulla,76,AU,1554148818,93,-35.36,150.48,55.99,8.05
buala,92,SB,1554149092,98,-8.15,159.59,80.26,5.88
jiayuguan,48,CN,1554149170,72,39.77,98.29,29.05,4.5
haines junction,0,CA,1554149171,40,60.75,-137.51,45.61,2.82
launceston,90,AU,1554148820,81,-41.43,147.14,51.01,5.82
faya,0,SA,1554145200,77,18.39,42.45,64.4,11.41
mecca,0,SA,1554148937,48,21.43,39.83,56.86,4.61
guatire,40,VE,1554148906,100,10.47,-66.54,84.2,4.21
milford,1,US,1554149137,23,40.77,-97.05,62.01,16.11
esperantina,88,BR,1554149172,93,-3.89,-42.23,77.38,3.2
lashio,0,MM,1554149172,83,22.93,97.75,61.72,1.3
mogzon,0,RU,1554149172,61,51.74,111.97,9.61,2.59
seddon,0,NZ,1554148901,86,-41.67,174.07,53.01,5.61
svetlaya,36,RU,1554149173,100,46.54,138.33,25.45,11.36
tokmak,92,UA,1554149173,58,47.26,35.7,55.15,16.46
evanston,40,US,1554149172,52,42.04,-87.69,50.0,18.34
